metsig,met,met_noJVT,dmet,dphi_met_phterm,dphi_ph_centraljet1,dphi_phterm_jetterm,jetterm,dphi_met_central_jet,BDTScore,weights,label,metsigres,ph_pt,ph_eta,dphi_met_jetterm,failJVT_jet_pt1,n_jet_central,dphi_jj
9.265912,115091.445,115091.445,0.0,1.7438848,2.355868086218834,2.2293779850006104,145780.3,2.529609505330221,0.22805692,0.07638439,1,8.050913331837474e-05,1.3127473544202567e-05,2.1035438761283594,2.059762040818907,-999.0,0.3333333333333333,2.9772956842279377
11.271922,195665.73,195665.73,0.0,2.3974032,2.650203052908182,2.650203227996826,288490.8,2.8887926898896694,0.30660376,0.12166089,1,5.760805369807987e-05,8.853627840409817e-06,1.4102501635713909,3.955691730218554,-999.0,1.0,-999.0
13.469125,256678.05,270250.4,13572.359,2.0132802,2.113710939884186,2.2042694091796875,281961.56,3.0411620179759424,0.27098268,0.11056643,1,5.247478153830137e-05,1.776128804008325e-05,1.1253114158679487,5.235908469683688,4.250409911358199e-05,0.5,2.930820119453359
7.2400646,118074.67,118074.67,0.0,1.862036,2.116293613110678,2.3877737522125244,156603.95,2.8873350024223328,0.29476333,0.110564716,1,6.131767639608546e-05,1.2642915517004216e-05,0.7713514517104294,1.9020885404750658,-999.0,0.3333333333333333,0.4750360843475353
9.64002,112146.12,112146.12,0.0,1.5680643,2.032372895871298,2.1958625316619877,130032.42,2.677284151315689,0.22088574,0.15880087,1,8.595946667308498e-05,1.3142239908172542e-05,1.1960057236049908,1.5928686885277807,-999.0,0.3333333333333333,2.0056905071819933
12.1403055,232064.6,232064.6,0.0,2.3223379,3.0288696289062496,2.569433212280273,314692.16,2.435060803090231,0.22165182,0.11082609,1,5.231433655036858e-05,9.276037721935e-06,0.8319661356504144,4.0470212611216585,-999.0,0.25,1.3618042013436127
7.0770273,151269.3,151269.3,0.0,1.8239235,1.988137006759644,2.204967737197876,155818.55,2.977379027997152,0.297419,0.1087762,1,4.678429329634879e-05,1.6589078165662683e-05,0.9825094647593013,2.6243657577627557,-999.0,0.25,0.9088947782427141
8.940872,106594.99,106594.99,0.0,1.5944489,2.30991467833519,2.173274517059326,124424.8,2.42612686753273,0.23264092,0.12761988,1,8.387703827493786e-05,1.2340512755709307e-05,3.019895372704917,1.7276364729772589,-999.0,0.5,1.2696781978203093
9.355091,104607.98,104607.98,0.0,1.5466111,2.227045957242148,2.227046012878418,133389.02,2.4611578583717346,0.22262658,0.11630215,1,8.94299920112188e-05,1.218075252542933e-05,1.2280038416872183,1.4696484749823095,-999.0,1.0,-999.0
9.780588,144457.56,144457.56,0.0,1.6433882,2.136766627430916,1.9806729555130005,151258.34,2.6482141464948654,0.16162601,0.12465239,1,6.770561840856183e-05,1.8650613213511845e-05,3.6975647875284987,2.964853673533999,-999.0,0.5,0.5953264600335839
9.046569,116628.42,116628.42,0.0,1.6511533,1.9743176142321988,2.042567253112793,114043.38,2.81842839717865,0.28313026,0.11641281,1,7.756744761055805e-05,1.7002573764603616e-05,0.8636309463149732,2.554840303217585,-999.0,0.5,5.444390503511213
7.9088593,117520.55,117520.55,0.0,1.7744913,2.376215879117148,2.294798851013184,155698.88,2.539868086576462,0.22901265,0.03432943,1,6.729767433706491e-05,1.334195828674099e-05,1.3411969139005362,1.9219395794515377,-999.0,0.3333333333333333,1.085981473479772
8.68153,188075.55,188075.55,0.0,2.114946,2.581033170223236,2.3706769943237305,214455.1,2.67550498643984,0.29286975,0.11474339,1,4.6159802188630094e-05,1.6616671809249647e-05,1.788771167870808,3.9103509341532603,-999.0,0.3333333333333333,1.2274070607955563
8.730819,118679.69,118679.69,0.0,1.9557775,2.887013405561447,2.6134462356567383,197447.78,2.210356742143631,0.34066355,0.11891343,1,7.356624357003443e-05,8.119838421711279e-06,14.50424140279221,1.520523081482475,-999.0,0.5,1.1268051519256588
